Name;Guest OS;IP Address
LC-PIM-ProductAPI-1;Ubuntu Linux (64-bit);10.96.103.214
LC-PIM-PricingAPI-1;Ubuntu Linux (64-bit);10.96.103.215
LC-PIM-Logstash;Ubuntu Linux (64-bit);10.96.103.216
LC-PIM-Core-2;Ubuntu Linux (64-bit);10.96.103.217
LC-PIM-ProductAPI-2;Ubuntu Linux (64-bit);10.96.103.218
LC-PIM-PricingAPI-2;Ubuntu Linux (64-bit);10.96.103.219
FLC-Loyalty-Core-1;Ubuntu Linux (64-bit);10.96.103.220
FLC-Loyalty-Core-2;Ubuntu Linux (64-bit);10.96.103.221
FLC-Loyalty-Core-3;Ubuntu Linux (64-bit);10.96.103.222
FLC-ES-MONITOR-1;Ubuntu Linux (64-bit);10.96.103.223
FLC-ES-MONITOR-2;Ubuntu Linux (64-bit);10.96.103.224
ICT-AppCenter-APP;Ubuntu Linux (64-bit);10.96.103.225
FLC-RSA-BE-V2-03;Ubuntu Linux (64-bit);10.96.103.226
FLC-RSA-BE-V2-04;Ubuntu Linux (64-bit);10.96.103.227
FLC-Loyalty-Listener-1;Ubuntu Linux (64-bit);10.96.103.228
FLC-Loyalty-Listener-2;Ubuntu Linux (64-bit);10.96.103.229
APP-NOTI-PROD-8;Ubuntu Linux (64-bit);10.96.103.230
APP-NOTI-PROD-9;Ubuntu Linux (64-bit);10.96.103.231
APP-NOTI-PROD-10;Ubuntu Linux (64-bit);10.96.103.232
FLC-Webhook-API;Ubuntu Linux (64-bit);10.96.103.233
FLC-PIM-SEARCH-1;Ubuntu Linux (64-bit);10.96.103.234
LC-PIM-ProductAPI-4;Ubuntu Linux (64-bit);10.96.103.236
LC-PIM-ProductAPI-5;Ubuntu Linux (64-bit);10.96.103.237
LC-PIM-ProductAPI-3;Ubuntu Linux (64-bit);10.96.103.238
FLC-PIM-SEARCH-2;Ubuntu Linux (64-bit);10.96.103.239
FLC-RSA-BE-V2-05;Ubuntu Linux (64-bit);10.96.103.240
FLC-RSA-BE-V2-06;Ubuntu Linux (64-bit);10.96.103.241
FLC-RSA-BE-V2-07;Ubuntu Linux (64-bit);10.96.103.242
FLC-EHO-WEB;Ubuntu Linux (64-bit);10.96.103.243
FLC-F0-Evidence-BE-2;Ubuntu Linux (64-bit);10.96.103.244
FLC-F0-Evidence-FE-1;Ubuntu Linux (64-bit);10.96.103.245
FLC-F0-Evidence-FE-2;Ubuntu Linux (64-bit);10.96.103.246
FLC-IMS-STOCK-PRICING-API;Ubuntu Linux (64-bit);10.96.103.247
FLC-IMS-CORE-API-1;Ubuntu Linux (64-bit);10.96.103.248
FLC-IMS-POS-LISTENER;Ubuntu Linux (64-bit);10.96.103.249
FLC-IMS-INVENTORY-API-1;Ubuntu Linux (64-bit);10.96.103.250
FLC-FriendSell-ZaloCustomerService;Ubuntu Linux (64-bit);10.96.103.251
FLC-ESM-BE-1;Ubuntu Linux (64-bit);10.96.103.252
FLC-ESM-BE-2;Ubuntu Linux (64-bit);10.96.103.253
fst-db-daotao;Ubuntu Linux (64-bit);10.96.101.1
FRT-DATA-PLATFORM;Ubuntu Linux (64-bit);10.96.101.113
FLC-IMS-MONGODB;Ubuntu Linux (64-bit);10.96.101.114
FLC-MONGOS-1;Ubuntu Linux (64-bit);10.96.101.187
FLC-MONGOS-2;Ubuntu Linux (64-bit);10.96.101.188
FLC-MONGO-SHARD-3;Ubuntu Linux (64-bit);10.96.101.189
FLC-MONGO-SHARD-4;Ubuntu Linux (64-bit);10.96.101.193
FLC-MONGO-SHARD-5;Ubuntu Linux (64-bit);10.96.101.194
FLC-MONGO-SHARD-6;Ubuntu Linux (64-bit);10.96.101.195
FLC-CONTRACT-MONGO;Ubuntu Linux (64-bit);10.96.101.203
FLC-SERVICE-ORDER-MONGO;Ubuntu Linux (64-bit);10.96.101.204
FLC-PromotionListener-Mongo;Ubuntu Linux (64-bit);10.96.101.206
LC-PIM-MongoDB;Ubuntu Linux (64-bit);10.96.101.211
FRT-CMS-PostgreSQL-frt.vn;Ubuntu Linux (64-bit);10.96.101.212
FRT-MasterData-PostgreSQL;Ubuntu Linux (64-bit);10.96.101.213
ICT-AppCenter-PostgreSQL;Ubuntu Linux (64-bit);10.96.101.214
FLC-PREPRO-CMS-CORE-PostgreSQL;Ubuntu Linux (64-bit);10.96.101.219
FLC-PREPRO-RatingCore-Postgres;Ubuntu Linux (64-bit);10.96.101.220
FLC-F0-Evidence-Postgres;Ubuntu Linux (64-bit);10.96.101.222
FLC-IMS-POSTGRES;Ubuntu Linux (64-bit);10.96.101.231
DMZ-ICT-API-LB;Ubuntu Linux (64-bit);10.96.102.38
DMZ-Proxy-BI;Ubuntu Linux (64-bit);10.96.102.44
SQL-Server03;Ubuntu Linux (64-bit);10.96.102.46
DMZ-Proxy-06;Ubuntu Linux (64-bit);10.96.102.54
DMZ-Customer-Proxy;Ubuntu Linux (64-bit);10.96.102.55
LoadBalancer-SE-03;Ubuntu Linux (64-bit);10.96.172.203
LoadBalancer-SE-04;Ubuntu Linux (64-bit);10.96.172.204
AviControler-01;Ubuntu Linux (64-bit);10.96.172.251
FRT-DX-RABBITMQ-01;Ubuntu Linux (64-bit);10.96.103.10
FRT-DX-RABBITMQ-02;Ubuntu Linux (64-bit);10.96.103.11
